dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
ingv,EEC1,sim2,template1,0.349350755302685,0.04461931972085604,0.31739165782292084,0.2613816482613918,155.7809875448868,False,False,False
ingv,EEC1,sim3,template2,0.3936509652926656,0.342226645265312,0.20776742015347358,0.3761575417161947,114.93559465203825,False,False,False
ingv,EEC1,sim4,template1,0.2537961294743895,0.45015034266105997,0.0825286352354989,0.3315678296548456,112.87232126096394,False,False,False
ingv,EEC1,sim1,template2,0.49600953450701063,0.03562342017038405,0.4766074087742774,0.3822438176723783,107.10457048158695,True,False,False
ingv,EEC1,sim4,template2,0.3762069258049234,0.15837109335720456,0.07826332520385158,0.3196658150720051,96.44054950263913,False,False,False
ingv,EEC1,sim3,template1,0.41226494942272157,0.2632374920212136,0.4612346523495413,0.36541581540249624,174.44333301893562,False,False,False
ingv,EEC1,sim2,template1,0.3570744935285108,0.2688458701299477,0.02406282426923875,0.31397801475869885,110.17950347576593,False,False,False
ingv,EEC1,sim2,template1,0.43198942656007405,0.19041353854264031,0.28905939682323284,0.3909037920362034,45.01621254130629,False,False,False
ingv,EEC1,sim1,template1,0.20106524676440732,0.1910526340418823,0.10317434156304267,0.2630395221448792,106.17502263364399,False,False,False
ingv,EEC1,sim2,template3,0.3473144429770807,0.15776623577568957,0.26038536081000285,0.28077820818264004,130.27714517536998,False,False,False
ingv,EEC1,sim4,template1,0.47989367430035396,0.15561413222305753,0.2712013019628115,0.37346934744794275,98.1296623611581,True,False,False
ingv,EEC1,sim2,template2,0.2965876651025748,0.22327129615560531,0.14029504636794005,0.26643100710851103,115.73433999396138,False,False,False
ingv,EEC1,sim3,template2,0.32535021202732345,0.1244827938988238,0.11267181618386721,0.2119387233582192,50.58909506155647,False,False,False
