dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,EEC1,sim1,template1,0.27330543043091254,0.13608553752859248,0.4259610018844217,0.3188832418405131,116.08208966012442,False,False,False,2022-12-13 00:25:13
ingv,EEC1,sim4,template1,0.20694421484835782,0.4520281502896153,0.09027183661037298,0.3464334047030354,130.7363485783532,False,False,False,2022-11-29 07:36:44
ingv,EEC1,sim2,template2,0.5631001039405498,0.1931346216189183,0.38373832795378093,0.4669955190183111,137.5580018925155,True,False,False,2022-12-30 18:33:52
ingv,EEC1,sim2,template1,0.30130591092308906,0.3550883539373996,0.026131777738165544,0.331132534474995,99.75423780654165,False,False,False,2023-01-03 04:53:34
ingv,EEC1,sim4,template1,0.4411612629280122,0.28842849414327904,0.13231752877573336,0.3975958435482203,83.9261168016683,False,False,False,2023-01-28 05:28:39
ingv,EEC1,sim2,template3,0.22598419318808313,0.5596062809381245,0.27014749322253784,0.4411774353006141,83.31707346147219,False,True,False,2022-12-10 04:33:57
ingv,EEC1,sim1,template3,0.44239895403223084,0.3297448021785783,0.02376549406555563,0.49900095813878653,102.10339295200635,False,False,False,2023-02-12 12:28:49
ingv,EEC1,sim1,template3,0.40262163617280783,0.12974061152348523,0.4099239947497058,0.4116938348972359,111.75768326401847,False,False,False,2023-01-01 02:11:52
ingv,EEC1,sim1,template1,0.34357048092173903,0.3130281124910328,0.05560737128256186,0.3278791404802422,66.52469940924917,False,False,False,2023-01-30 13:13:00
ingv,EEC1,sim3,template3,0.30395236159494476,0.40670895417867226,0.2100590579951654,0.3892318891160863,103.54081907728421,False,False,False,2023-02-07 23:28:40
ingv,EEC1,sim4,template3,0.3567563346660804,0.290484559866756,0.5053837909914697,0.33507331298492166,142.09097363214198,False,False,True,2023-02-10 08:57:26
ingv,EEC1,sim1,template3,0.3228353051485092,0.015213710239000268,0.03537578414674815,0.4387268959192501,81.13050176648936,False,False,False,2023-01-16 12:20:00
ingv,EEC1,sim4,template1,0.35816648017161296,0.2724537366278536,0.5040715518120439,0.3212360213982757,147.67152786651005,False,False,True,2023-02-12 06:17:11
ingv,EEC1,sim3,template1,0.35526023528632367,0.47978328482382887,0.05169703552175632,0.4144047540923915,80.67475312853136,False,True,False,2022-12-05 14:07:18
ingv,EEC1,sim2,template3,0.42475926582807166,0.11921182481002819,0.24219616145057662,0.33934910924422257,39.37896064751561,False,False,False,2023-01-17 01:54:03
ingv,EEC1,sim1,template3,0.36728059666683593,0.4323014212546606,0.04546299757122186,0.4074142900914823,127.59137654530234,False,False,False,2022-11-18 06:10:39
ingv,EEC1,sim2,template3,0.46332435070732325,0.21413292825495892,0.19443057366002017,0.40425338234260705,135.3545127295977,False,False,False,2023-01-13 07:06:55
ingv,EEC1,sim4,template2,0.18486127081267553,0.5292475632674206,0.22735145645951624,0.40080097540495896,155.32233398191943,False,True,False,2022-11-16 20:11:59
ingv,EEC1,sim4,template1,0.4469448171040399,0.20270476642249152,0.5641186466883403,0.32749606972382805,141.97994602768122,False,False,True,2022-12-15 10:41:54
ingv,EEC1,sim4,template2,0.45287801289055757,0.15864120215114255,0.5425663429831944,0.3343203623541142,123.69734198905277,True,False,True,2022-12-15 10:48:42
ingv,EEC1,sim4,template2,0.2557019726433106,0.49718400347562164,0.49292962487910896,0.3800518058877274,162.5706497507678,False,True,True,2022-12-26 22:20:57
ingv,EEC1,sim3,template2,0.04231634047559495,0.5758700789366356,0.3690130549305715,0.43657225124508486,68.61909709802741,False,True,False,2022-11-27 05:39:31
ingv,EEC1,sim3,template1,0.4291841480894576,0.21752637479663053,0.5373765337347247,0.37807088265372124,12.581606028210786,False,False,True,2023-01-04 19:02:10
ingv,EEC1,sim2,template2,0.07182361886560047,0.4938287929573383,0.24808464851816556,0.34430847518248636,69.0682686968018,False,True,False,2023-01-27 14:03:54
ingv,EEC1,sim3,template1,0.4263752387299584,0.20883607700282125,0.3136224582534318,0.3482935929327495,54.72728770226551,False,False,False,2022-12-19 05:51:37
ingv,EEC1,sim4,template2,0.06927239748022919,0.49751183866195203,0.34993581851938316,0.3837483468480637,8.802640026641111,False,True,False,2022-11-16 20:22:06
