dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,dir2,stack,2022-11-21 09:09:38,0.3783,True,3.706923149472411,0.08623932719539562,0.0545708941231429,1.504356301443591,False,1.3324335960928728,False
experiment,EC1,dir2,max,2023-07-29 07:25:37,0.6169,False,3.2372055756259406,0.029284909725181052,0.04625692409837976,2.792052563148774,False,1.3016517540565669,False
experiment,EC10,dir2,stack,2023-08-01 13:18:24,0.3666,False,3.3244828621888,0.7493488685489189,0.09938253465944479,0.5620580123560028,False,1.2899539031312834,True
ingv,ECPN,dir2,stack,2022-12-27 20:57:18,0.3911,True,2.120742824124522,-0.15606623903873995,0.018629337438138754,1.2668010782014394,False,1.2893155856545393,False
ingv,EEC1,dir2,stack,2023-01-20 06:50:45,0.3154,False,2.293105379197674,-0.42400901331329255,0.03874079556234086,0.907047805774746,False,1.2841725751146886,True
ingv,EEC1,dir,max,2023-01-31 16:30:51,0.6052,True,2.219962426877786,1.4703248011526089,0.062475562160058166,1.313408379703553,False,1.2778614323571365,False
ingv,EEC1,dir2,stack,2022-12-02 21:49:07,0.3326,True,2.6048473847308937,0.06453525869010646,0.06679468429096506,0.6691203495849889,False,1.2758617687545928,True
ingv,ECPN,dir2,stack,2022-12-07 19:06:20,0.3674,False,1.8316573668968912,-0.2889027979200689,0.056491512509143194,0.8108455116189697,False,1.2364020484779537,True
ingv,ECPN,dir2,max,2023-02-16 12:51:20,0.6182,True,1.7596977631508646,0.005548555358478424,0.10401730486478986,1.7105020898829477,False,1.2322610533993195,False
ingv,ECPN,dir2,max,2023-01-04 06:46:49,0.6426,True,2.197583703543827,-0.3421291238498463,0.25739344209528336,1.0745251039168158,False,1.2320366828453728,False
ingv,ECPN,dir2,max,2023-02-04 17:36:14,0.5952,False,1.9770650255418594,-0.3149930447093081,0.14343162645546276,1.5573057567350475,False,1.2319286233229048,False
ingv,ECPN,dir2,max,2023-01-10 23:56:04,0.6016,False,2.242107392736229,0.2928428332902957,0.04594889493921651,2.134858832741444,False,1.225436470100524,False
experiment,ECOR,dir,stack,2023-07-28 22:33:17,0.3768,False,1.8549820396564651,-0.9954347338774161,0.08993925185849534,1.027222255482328,False,1.2243137801780777,False
experiment,ECOR,dir2,max,2023-08-02 07:06:40,0.6655,True,2.923875388399656,-0.4362166814273105,0.2405375669311436,1.7466628886738802,False,1.2211271163093962,False
ingv,ECPN,dir2,stack,2022-12-22 20:32:51,0.4198,True,2.696739917311586,-0.3373460235572572,0.09256962616134762,1.29194980721167,False,1.218410679806805,False
ingv,ECPN,dir2,max,2023-01-03 03:07:26,0.6157,True,1.892264256809744,-0.42336260244266954,0.1591356811620009,1.587190591594839,False,1.2170977011575872,False
experiment,EC10,dir2,stack,2023-07-24 22:40:47,0.3735,False,2.877525326771813,-0.18932634529788306,0.08291353833797625,1.1120400776100807,False,1.1997636100122906,False
ingv,ECPN,dir2,stack,2023-02-15 11:21:58,0.3985,True,2.5474747980138264,-0.17526403943410385,0.10708939888533879,0.921402807094637,False,1.177726734585986,True
ingv,ECPN,dir,stack,2022-12-09 10:31:51,0.3896,False,3.985452690706169,0.7057336281718256,0.09323010069564,1.1695517633729033,False,1.171160433913187,False
ingv,ECPN,dir2,max,2023-01-31 16:00:59,0.5939,False,3.228276782734576,2.137052590464,0.037691192319892174,1.6262424050386413,False,1.1619072633524072,False
ingv,ECPN,dir2,max,2023-02-10 22:34:08,0.6211,True,2.345762060170459,-0.34256903255024396,0.2673947419537167,0.9939765583891303,False,1.1604924090315825,True
ingv,ECPN,dir2,stack,2023-01-02 01:25:08,0.3861,True,2.496316920821239,0.15014601434281438,0.03414384448026096,1.2177875065783632,False,1.1581311771082716,False
ingv,ECPN,dir,stack,2022-11-18 19:56:33,0.3865,False,2.7557413571867118,0.014168721727272349,0.07230031323267114,1.1313396949869308,False,1.1511575666159324,False
ingv,ECPN,dir2,stack,2022-11-20 04:13:06,0.3651,False,2.821579770572025,-0.7873517315398906,0.060512593344063254,1.591771936574255,False,1.1384686508306865,False
ingv,EEC1,dir2,stack,2022-12-21 05:37:01,0.3125,False,2.544824649524894,0.051633698296991604,0.09428706271905811,0.422620864855489,False,1.1297019270947293,True
ingv,ECPN,dir2,stack,2022-12-10 02:53:10,0.3685,False,2.766913169741687,-0.2737117997808656,0.0505411400845224,1.3862468590769075,False,1.1181626210584623,False
ingv,EEC1,dir2,stack,2022-12-01 22:42:33,0.3181,True,2.924890340218605,0.2519447070993057,0.08914280588843726,0.5917380526744088,False,1.0899590634107286,True
ingv,ECPN,dir2,stack,2023-02-06 23:48:06,0.4061,True,1.6537526166307108,-0.47454149014637537,0.027218469289484043,1.3943689114550026,False,1.0810102695954096,False
ingv,ECPN,dir2,stack,2022-11-15 18:34:15,0.3949,True,3.114462675168201,-0.7110465474937318,0.1320803754158297,1.3537802130683725,False,1.0769888363561977,False
ingv,ECPN,dir2,max,2023-02-19 14:07:04,0.6096,False,2.161478157825121,-0.4370785703532549,0.25088296615242733,1.0911981708214238,False,1.0607719294266378,False
experiment,ECIT,dir2,stack,2023-07-25 13:57:25,0.361,False,4.349820473799008,0.39868921221623577,0.05078823798596819,1.7589402123702873,False,1.0585737983364853,False
ingv,ECPN,dir2,stack,2023-02-12 00:07:37,0.3796,True,1.6596149163610503,-1.0531186415580205,0.11425270179234814,0.916221699843838,False,1.0550982380518998,True
ingv,ECPN,dir2,stack,2022-12-29 08:58:28,0.3745,True,1.4578158274472,-0.9655028030327886,0.06283360461313216,1.1385686302924019,False,1.0537180455885247,False
ingv,EEC1,dir,stack,2022-12-06 02:12:09,0.3351,False,2.6643276739775397,-0.01904410971611359,0.09830624926723781,0.6889770832772187,False,1.034356327797525,True
ingv,ECPN,dir2,stack,2022-12-31 11:08:53,0.447,True,1.5398913120972986,-0.590081147598505,0.12611495433147096,0.9160432648345618,False,1.0311331493283997,True
ingv,EEC1,dir,max,2022-12-18 04:59:46,0.5451,False,3.0516628435944577,-0.25491163274767237,0.2526746373890655,1.0445168014095032,False,1.0305579034855024,False
ingv,EEC1,dir2,stack,2022-12-09 17:48:00,0.3592,True,3.229957846796359,0.17527753627670117,0.0795274240499237,1.1409128664571,False,1.0262230703535555,False
ingv,ECPN,dir,stack,2023-02-02 19:43:15,0.4056,True,2.6610519258773944,-0.6098715243346287,0.10519513149858677,1.3972222064458917,False,1.011024415155667,False
experiment,ECOR,dir,stack,2023-07-31 15:33:02,0.371,False,1.956394402243282,-0.5608517768653472,0.09116665982489856,0.9454547405065489,False,1.0019863950526275,True
