dataset,kind,rho,chisq
ingv,real signal,0.9156225256507765,0.24221223177132195
ingv,real signal,0.899581269633616,0.14093813888414086
ingv,real signal,0.9422234042390213,0.13098533825116532
ingv,real signal,0.9276640297332308,0.15490395690813402
ingv,real signal,0.8882422503440802,0.1465616851176618
ingv,real signal,0.8963495055559907,0.24219323973684245
ingv,real signal,0.9412759723554788,0.15979558897502882
ingv,real signal,0.9097023765640166,0.10441234156509789
ingv,real signal,0.8899588810762286,0.19264456462861637
ingv,real signal,0.8791115307277405,0.31989782840786213
ingv,real signal,0.9231176333325501,0.26755428577210527
ingv,real signal,0.893400572223276,0.30990345203430264
ingv,real signal,0.9147272251368089,0.20937130667150286
ingv,real signal,0.9165092533257252,0.04454299402023741
ingv,real signal,0.8667832867479986,0.3245567801356122
ingv,real signal,0.9070619524509129,0.24877293883052856
ingv,real signal,0.9014268337164707,0.3356985083412951
ingv,real signal,0.8904687858778914,0.24955821400518258
ingv,real signal,0.9234342922614462,0.19137434605556694
ingv,real signal,0.8730064520736484,0.435885236255253
ingv,real signal,0.9003789491865952,0.34172864178720935
ingv,real signal,0.9088333407000857,0.28975107478268636
ingv,real signal,0.9095072894759955,0.17782737067884724
ingv,real signal,0.9268243433869955,0.12077670331624145
ingv,real signal,0.8960120661819062,0.4626001574957022
ingv,real signal,0.9097079978238458,0.1596414502732281
ingv,real signal,0.9252014925437354,0.25798188599771443
ingv,real signal,0.9171785644930138,0.13009206830675066
ingv,real signal,0.9337789383931907,0.06313081068032146
ingv,real signal,0.9119139512784389,0.490185851932266
ingv,real signal,0.8916469431710169,0.14934115353962046
ingv,real signal,0.883925643578909,0.367093136222282
ingv,real signal,0.924267445938118,0.07667450455720284
ingv,real signal,0.8642113879116209,0.2328285432153581
ingv,real signal,0.9036905766426112,0.3139763922559154
ingv,real signal,0.8698880592510062,0.1310045317040146
ingv,real signal,0.8775996866027362,0.21332529374253217
ingv,real signal,0.8915674693633928,0.02690901433488735
ingv,real signal,0.8626902810161231,0.4914117793632767
ingv,real signal,0.9131581286187682,0.04567486651255393
ingv,real signal,0.8744305562893784,0.09840841531914671
ingv,real signal,0.9181746298754333,0.20669217789868935
ingv,real signal,0.9310178207005084,0.2533579402664531
ingv,real signal,0.9312293262910917,0.32269348274984877
ingv,real signal,0.910776606963871,0.5015044363426615
ingv,real signal,0.9093557769997648,0.20518579369045153
ingv,real signal,0.8652611323761139,0.3877618141002527
ingv,real signal,0.8922341892374754,0.047075075172798665
ingv,real signal,0.887247773365916,0.24880183129392314
ingv,real signal,0.8886830924537307,0.5334290281551909
ingv,real signal,0.8781916746618904,0.32802916859353315
ingv,real signal,0.8884646197080321,0.30200462136783673
ingv,real signal,0.9414905390474577,0.11600435575103527
ingv,real signal,0.8630206188543671,0.1310391841052534
ingv,real signal,0.9311815870963033,0.2987641219119124
ingv,real signal,0.873953398298553,0.08584642033077702
ingv,real signal,0.878151997644846,0.3046757656438742
ingv,real signal,0.8715585077442016,0.3408209421036068
ingv,real signal,0.9193303352020277,0.061536581521783484
ingv,real signal,0.8938075630695353,0.20594886004875165
ingv,real signal,0.8821010173481648,0.0967297387304621
ingv,real signal,0.9435061314322754,0.10725106348926212
ingv,real signal,0.8539387761587758,0.4483013292810239
ingv,real signal,0.9247693550656116,0.1776014033080239
ingv,real signal,0.9122978297601183,0.233464389892699
ingv,real signal,0.858312370857473,0.4633867931525599
ingv,real signal,0.8851253350751629,0.08168263651367019
ingv,real signal,0.9247487646775707,0.31728442114524763
ingv,real signal,0.8574661014796673,0.30680589758220084
ingv,real signal,0.9484637642857879,0.04498374407511279
ingv,real signal,0.9260320640788394,0.23193559584694656
ingv,real signal,0.9274954582270407,0.24548586979384696
ingv,real signal,0.890253471367178,0.27355165055807373
ingv,real signal,0.9142269488615393,0.1463940275320325
ingv,spike glitch,-0.31476105699323287,2.915896480095846
ingv,spike glitch,0.38718737744487797,3.037942609336016
ingv,spike glitch,-0.3218211013033116,2.948852678788793
ingv,spike glitch,-0.408598494943478,1.889830889118128
ingv,spike glitch,-0.3586218260265809,0.7738039581912513
ingv,spike glitch,-0.429255054516151,3.7926666701242526
ingv,spike glitch,-0.5129143874609708,3.3589150413387796
ingv,spike glitch,-0.29795928336377353,3.214945145510331
ingv,spike glitch,0.3723165142505946,4.5921433301044345
ingv,spike glitch,0.38516011206991113,3.279975935185697
ingv,spike glitch,-0.4004127334038646,4.820203247723353
ingv,spike glitch,-0.4275587681176372,1.1373423668033342
ingv,spike glitch,-0.34114911780601415,1.918629955192729
ingv,spike glitch,-0.3926519549558965,1.966632508463553
ingv,spike glitch,-0.2633816425748152,4.087840601612592
ingv,spike glitch,-0.3570286039837173,2.4198750647833247
ingv,spike glitch,-0.35812442516197646,6.788445918312863
ingv,spike glitch,-0.3548385953639938,6.688016493996692
ingv,spike glitch,-0.33577428632661055,3.491102909395472
ingv,spike glitch,0.3733769156145781,2.412048974402233
