dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,EEC1,dir,stack,2022-11-19 11:35:06,0.3308,False,2.6410536599754204,-0.5462230881768018,0.2569970028034075,0.7737039121333811,False,-0.5111087291957548,True
ingv,EEC1,mag,stack,2022-11-21 11:29:04,0.3203,False,2.046991921889268,-0.6494620558435473,0.14895405431123074,1.2162173828407414,False,-0.5140790664033215,False
ingv,ECPN,mag,stack,2022-12-15 17:03:53,0.3738,True,2.2122805864288746,-0.21858858928937197,0.12404243695358591,1.614971271830327,False,-0.5141540344090502,False
ingv,ECPN,dir,stack,2022-11-16 17:03:36,0.4064,True,2.022413880455189,0.43512843386444366,0.1298151862310522,1.311708266229713,False,-0.5155921601883057,False
ingv,ECPN,dir,stack,2022-12-21 02:21:16,0.4133,True,2.2158289505235667,0.539105437081536,0.04814938752356845,2.039395749985387,False,-0.5196110496172822,False
ingv,EEC1,mag,max,2022-12-13 00:10:13,0.5324,False,2.07094081446779,0.3290572027303309,0.026104583771688904,2.9877440275430778,False,-0.5214398567811103,False
ingv,EEC1,mag,max,2022-12-04 14:05:02,0.5829,True,2.4192765531116347,0.9223950117311497,0.36480166077818293,0.6551264847687296,False,-0.5379921498533096,True
ingv,EEC1,dir,stack,2022-12-31 09:57:39,0.3335,False,1.9021776262281318,1.3499566365643139,0.030308121940858804,1.0541185041074068,False,-0.539815999876953,False
ingv,ECPN,mag,max,2022-12-18 04:19:25,0.5917,False,1.9027955097944762,1.0739327485904857,0.0823679829418684,2.4518814272425304,False,-0.5432662957771637,False
ingv,EEC1,mag,max,2022-11-15 07:40:14,0.5086,False,4.127562789983697,2.8595667653620334,0.19811666606666922,1.460478952518993,False,-0.5453222708530052,False
ingv,EEC1,mag,max,2022-12-24 13:33:45,0.5493,True,1.844948777996238,1.4979500594883364,0.1874607541721586,1.1305799482155048,False,-0.5514843868463131,False
ingv,ECPN,mag,stack,2023-01-01 16:40:23,0.3786,True,2.7594753919869155,1.8948787428973874,0.05610251563401166,1.3931528811566631,False,-0.5566845341405251,False
ingv,ECPN,mag,stack,2022-12-05 12:10:26,0.3877,True,1.7512150419550165,0.24332772715104323,0.11768467125916476,1.2542411862802103,False,-0.5604965228878062,False
ingv,EEC1,dir,max,2022-12-31 22:25:58,0.5248,False,1.144707802022262,-0.9215444647021367,0.2504233794750806,1.374409986430017,False,-0.5617687636213193,False
