dataset,station,covered,absR,oriented_ReR
experiment,EC10,True,0.3498376153610505,-0.14223470881253966
experiment,EC10,True,0.363520409834952,-0.20510219089939896
experiment,EC10,True,0.41052732130167646,-0.20164029758481591
experiment,EC10,True,0.3765066095602633,-0.016018843366001873
experiment,EC10,True,0.3943044781100411,0.09192551591848279
experiment,EC10,True,0.3822321168601252,0.3081558712636826
experiment,EC10,True,0.43815533583166,-0.16066779438854772
experiment,EC10,True,0.3798138388520781,-0.23508615091711021
experiment,EC10,True,0.3567867930884495,0.13924550482888093
experiment,EC10,True,0.3765066095602638,-0.0160188433660019
experiment,EC10,True,0.44002259771136354,0.43852041418485654
experiment,EC10,True,0.45578447038413916,0.2611388874835705
experiment,EC10,True,0.3798138388520783,-0.23508615091711033
experiment,ECIT,False,0.33189954598238847,
experiment,ECIT,False,0.3771760445468666,
experiment,ECIT,False,0.4204855336401191,
experiment,ECIT,False,0.3956986388953383,
experiment,ECIT,False,0.4162198691701075,
experiment,ECIT,False,0.35401421512068193,
experiment,ECIT,False,0.48739748545357414,
experiment,ECIT,False,0.35912186118779105,
experiment,ECIT,False,0.4737314639801908,
experiment,ECIT,False,0.3761854422586568,
experiment,ECIT,False,0.4204222247889603,
experiment,ECIT,False,0.43936975543484846,
experiment,ECIT,False,0.3689398631520899,
experiment,ECIT,False,0.505989396114416,
experiment,ECIT,False,0.36215292810853295,
experiment,ECIT,False,0.35752021600271033,
experiment,ECIT,False,0.4070104050774868,
experiment,ECIT,False,0.3682563685486229,
experiment,ECIT,False,0.399891735948542,
experiment,ECIT,False,0.3270017703145567,
experiment,ECIT,False,0.36307921678196087,
experiment,ECIT,False,0.39575706766589874,
experiment,ECIT,False,0.4305456503001468,
experiment,ECIT,False,0.3270017703145568,
experiment,ECIT,False,0.333263433327576,
experiment,ECIT,False,0.3631861572770125,
experiment,ECIT,False,0.32799083021845044,
experiment,ECIT,False,0.3776026013792349,
experiment,ECIT,False,0.4137964916412107,
experiment,ECIT,False,0.39330512011331004,
experiment,ECIT,False,0.39989173594854177,
experiment,ECIT,False,0.3748835055403716,
experiment,ECIT,False,0.3742889060409838,
experiment,ECIT,False,0.361919143972415,
experiment,ECIT,False,0.3446312125142329,
experiment,ECIT,False,0.43928441789862677,
experiment,ECIT,False,0.3609813703228923,
experiment,ECIT,False,0.376342624856625,
experiment,ECIT,False,0.3270017703145564,
experiment,ECIT,False,0.3405297435984955,
experiment,ECIT,False,0.3668090714296527,
experiment,ECIT,False,0.36191914397241504,
experiment,ECIT,False,0.34597691397460717,
experiment,ECIT,False,0.4204657585550336,
experiment,ECIT,False,0.39569863889533846,
experiment,ECIT,False,0.5057118229728091,
experiment,ECIT,False,0.3270017703145569,
experiment,ECIT,False,0.48881212167167576,
experiment,ECIT,False,0.377602601379235,
experiment,ECIT,False,0.3881415332888611,
experiment,ECIT,False,0.36031436872798345,
experiment,ECIT,False,0.5059893961144161,
experiment,ECIT,False,0.3857622191901317,
experiment,ECIT,False,0.3935532090511409,
experiment,ECIT,False,0.3043064964974174,
experiment,ECIT,False,0.37428890604098375,
experiment,ECIT,False,0.3881415332888626,
experiment,ECIT,False,0.3933051201133109,
experiment,ECIT,False,0.37178305495067887,
experiment,ECIT,False,0.39678574444848647,
experiment,ECOR,False,0.41776278104479425,
experiment,ECOR,False,0.40744900282341007,
experiment,ECOR,False,0.43541399266672676,
experiment,ECOR,False,0.3835656751815669,
experiment,ECOR,False,0.4571570078166658,
experiment,ECOR,False,0.3495664300735615,
experiment,ECOR,False,0.3937192955593223,
experiment,ECOR,False,0.41715658326624844,
experiment,ECOR,False,0.4180296390078805,
experiment,ECOR,False,0.4645988890607309,
experiment,ECOR,False,0.3534542792058858,
experiment,ECOR,False,0.4199784578186989,
experiment,ECOR,False,0.3974985466100319,
experiment,ECOR,False,0.37429990268124064,
experiment,ECOR,False,0.4034158469223402,
experiment,ECOR,False,0.3964374033340933,
experiment,ECOR,False,0.4398990956467691,
experiment,ECOR,False,0.45935591686263755,
experiment,ECOR,False,0.41515878949675644,
experiment,ECOR,False,0.4693507102871385,
experiment,ECOR,False,0.3867985524171312,
experiment,ECOR,False,0.4015533138733183,
experiment,ECOR,False,0.49933731047973157,
experiment,ECOR,False,0.3951892344000421,
experiment,ECOR,False,0.4026157686281956,
experiment,ECOR,False,0.40240273787422576,
experiment,ECOR,False,0.47056844247098534,
experiment,ECOR,False,0.3462362327448637,
experiment,ECOR,False,0.42934524500261456,
experiment,ECOR,False,0.3819875637865769,
experiment,ECOR,False,0.41805851479034334,
experiment,ECOR,False,0.4370545486716652,
experiment,ECOR,False,0.4709816009008798,
experiment,ECOR,False,0.34206851963905055,
experiment,ECOR,False,0.4045506472451267,
experiment,ECOR,False,0.4227022019456912,
experiment,ECOR,False,0.4160665236049331,
experiment,ECOR,False,0.4278386899189876,
experiment,ECOR,False,0.4278386899189879,
experiment,ECOR,False,0.4072198851027368,
experiment,ECOR,False,0.4136933701788825,
experiment,ECOR,False,0.39374162147139347,
experiment,ECOR,False,0.3615832457211022,
experiment,ECOR,False,0.34533536038518375,
experiment,ECOR,False,0.3986213116723143,
experiment,ECOR,False,0.4024427072013077,
experiment,ECOR,False,0.4691581080621767,
experiment,ECOR,False,0.4424906967590201,
experiment,ECOR,False,0.47513078139242465,
experiment,ECOR,False,0.4389640839309557,
experiment,ECOR,False,0.4136933701788825,
experiment,ECOR,False,0.4400438647391044,
experiment,ECOR,False,0.4499187404923021,
experiment,ECOR,False,0.3883416363630624,
experiment,ECOR,False,0.47248980381856026,
experiment,ECOR,False,0.3768596982001096,
experiment,ECOR,False,0.39830702105100857,
experiment,ECOR,False,0.43361786753441345,
experiment,ECOR,False,0.3938204991119636,
experiment,ECOR,False,0.42121837474012086,
experiment,EMAS,True,0.29576888108232385,0.28137069294962597
experiment,EMAS,True,0.3975220804305301,0.3403995075853575
experiment,EMAS,True,0.40574972198656284,-0.32525906018868234
experiment,EMAS,True,0.35809200155945337,0.16890018261086387
experiment,EMAS,True,0.3975960775154602,0.0594039318575544
experiment,EMAS,True,0.3401086638697216,-0.3115706066685921
experiment,EMAS,True,0.3626357879394442,-0.36166988441798537
experiment,EMAS,True,0.3580920015594526,0.16890018261086348
experiment,EMAS,True,0.40311044936870943,0.10855068858155974
experiment,EMAS,True,0.34010866386972205,-0.31157060666859254
experiment,EMAS,True,0.385469747869629,0.0466971909670723
experiment,EMAS,True,0.35045786283398556,0.1798868552924914
experiment,EMAS,True,0.3401086638697224,-0.3115706066685928
experiment,EMAS,True,0.38891399329355025,0.06728831909331809
experiment,EMAS,True,0.3162811724534588,0.2925474609076203
experiment,EMAS,True,0.37613031925816226,0.04700649349718492
experiment,EMAS,True,0.3153766300728692,-0.2736533027914758
experiment,EMAS,True,0.42147549385979155,-0.1387609193034228
experiment,EMAS,True,0.4450039372029875,0.4336355482823833
experiment,EMAS,True,0.3550042081258127,0.057857539428214574
experiment,EMAS,True,0.3926935759095155,0.23944917054685877
experiment,EMAS,True,0.5862877542361752,-0.5662477433185599
experiment,EMAS,True,0.36263578793944473,-0.3616698844179859
experiment,EMAS,True,0.39269357590951554,0.23944917054685877
experiment,EMAS,True,0.3621679507435423,-0.25944520468196175
experiment,EMAS,True,0.3228680028755635,-0.2993227515262176
experiment,EMAS,True,0.45299019155169046,-0.38781840480303265
experiment,EMAS,True,0.4497180472203446,-0.11496900841337364
experiment,EMAS,True,0.3433860603133819,0.10511860412250314
experiment,EMAS,True,0.3409408476207979,-0.14089492977137888
experiment,EMAS,True,0.4130655835976987,-0.27774018199058004
experiment,EMAS,True,0.3840751222813664,-0.14144980207142424
experiment,EMAS,True,0.4113625279860026,-0.2118088078967077
experiment,EMAS,True,0.40108639249929456,-0.08127710434815191
experiment,EMAS,True,0.35145585497252474,0.09547499035778001
experiment,EMAS,True,0.3452613430379327,-0.006339986333339147
experiment,EMAS,True,0.35253668052291043,0.005757860725029108
experiment,EMAS,True,0.3806867061167391,-0.35071941809511925
experiment,EMAS,True,0.4450039372029861,0.43363554828238193
experiment,EMAS,True,0.3157401640909592,0.23673498155745973
experiment,EMAS,True,0.34064891854084556,0.28470596349209676
experiment,EMAS,True,0.35886233995830635,0.22309410480608222
experiment,EMAS,True,0.30850275344917877,-0.2839625943941656
experiment,EMAS,True,0.3452613430379324,-0.006339986333339081
experiment,EMAS,True,0.3611368955439313,-0.3610743705658775
experiment,EMAS,True,0.48452628461977093,-0.48395518702012635
experiment,EMAS,True,0.3349524468171064,-0.00691923773684708
experiment,EMAS,True,0.3228680028755626,-0.2993227515262168
experiment,EMAS,True,0.34064891854084595,0.28470596349209704
experiment,EMAS,True,0.35706782010421634,0.0559528100637695
experiment,EMAS,True,0.35706782010421656,0.05595281006376948
experiment,EMAS,True,0.36775006721309883,-0.3130841678194155
experiment,EMAS,True,0.3975960775154603,0.059403931857554396
experiment,EMAS,True,0.33855318244596144,0.07540978707408116
experiment,EMAS,True,0.3674210806464636,0.3331227880555847
experiment,EMAS,True,0.40311044936870943,0.10855068858155965
experiment,EMAS,True,0.46342966620262327,0.4233735331858382
experiment,EMAS,True,0.3611368955439289,-0.3610743705658751
experiment,EMAS,True,0.32667042473464003,-0.1860560007151133
experiment,EMAS,True,0.46394123665521014,0.24650844150263632
