dataset,kind,rho,chisq
ingv,real signal,0.9308998367703137,0.3399248802258843
ingv,real signal,0.8746809045632468,0.06760896620525876
ingv,real signal,0.8813972602432408,0.27848806813787635
ingv,real signal,0.8732581266190046,0.3062011051665721
ingv,real signal,0.9110884064421655,0.07330070752586523
ingv,real signal,0.891784154322523,0.23401260237192498
ingv,real signal,0.89986498544649,0.061743904149309636
ingv,real signal,0.9415303160960086,0.06541395258421757
ingv,real signal,0.8552820656906185,0.4039839073676369
ingv,real signal,0.9257630124174913,0.0910529368801037
ingv,real signal,0.919946457352681,0.14562522076210754
ingv,real signal,0.8577825213522116,0.37112865660068917
ingv,real signal,0.8860227458715816,0.06588774963093202
ingv,real signal,0.9243018918020612,0.1710762929641113
ingv,real signal,0.857260175992799,0.5321080171116586
ingv,real signal,0.9500619148836754,0.07805714571020028
ingv,real signal,0.9234533536869122,0.32868541455451894
ingv,real signal,0.921289978316472,0.22326136625641643
ingv,real signal,0.8861532809294579,0.24872359648366826
ingv,real signal,0.913097223208949,0.11806808730188366
ingv,spike glitch,0.30606692682514897,2.844787136847761
ingv,spike glitch,-0.3518659583175521,2.284511502465204
ingv,spike glitch,-0.3025637365185034,1.9571051560357342
ingv,spike glitch,-0.41553773263817245,1.6520348774254052
ingv,spike glitch,0.3455404974036511,1.1032170873003098
ingv,spike glitch,-0.4248375699542341,3.9166254391931195
ingv,spike glitch,0.509083418563147,1.692473705073373
ingv,spike glitch,0.2910684258345935,3.9359926855146368
ingv,spike glitch,0.3493301657196002,4.316874373053002
ingv,spike glitch,-0.38700383226225815,3.2090944928579725
ingv,spike glitch,-0.40542429283171766,5.332061595275924
ingv,spike glitch,-0.41743066164371984,2.0816137655050104
ingv,spike glitch,0.335980933623554,3.4266087799673
ingv,spike glitch,-0.3925488815968605,2.9135269362112166
ingv,spike glitch,-0.27952511965174137,3.607326770370097
ingv,spike glitch,-0.41250961887653537,1.3795030897625913
ingv,spike glitch,-0.33720000427073826,2.4527236525872183
ingv,spike glitch,-0.35405284652445584,4.31234603246023
ingv,spike glitch,0.3435366444631767,3.0935246869112816
ingv,spike glitch,0.40149676260822786,3.76326588456628
ingv,spike glitch,-0.3729413230220474,7.518469464826094
ingv,spike glitch,0.34276502085842775,2.31082018362846
ingv,spike glitch,0.38095212253771893,5.67961433125044
ingv,spike glitch,0.39734016743352696,1.3784595465487819
ingv,spike glitch,0.44886147935544646,1.6916133031396803
ingv,spike glitch,0.49076908520886203,1.6388134763766062
ingv,spike glitch,-0.2710681091377067,6.462007675703363
ingv,spike glitch,0.38204940531784365,2.897212289397995
ingv,spike glitch,-0.3010710167975239,1.7561226938845576
ingv,spike glitch,-0.3489323313311269,3.018338448490241
